Atlas_Number,FORMNUM,MUSNAME,MAILADDRES,CITY,ZIP,STRADDRSS,StreetCity,StreetZip,COUNTY,CountyId,PHONE,EMAIL,WEBSITE,HOUR_OPEN,ADMISSION,YEAREST,TXHSLNDMRK,NRHP,SUBJMARK,LOCALDESIG,HistoricDesignation,LastUpdate,Display
4200000023,23,"George Washington Carver Museum, Cultural, and Genealogy Center",1165 Angelina Street,Austin,78702,1165 Angelina Street Austin 78702,Austin,78702,Travis,227,512 974-4926,carver.museum@austintexas.gov,www.austintexas.gov/carvermuseum,"Monday through Wednesday, Friday, 10:00 a.m. to 6:00 p.m. Thursday, 10:00 a.m. to 9:00 p.m. Saturday, 10:00 a.m. to 4:00 p.m.",Free,1980,True,False,False,True,"Recorded Texas Historic Landmark, Local Designation",08/31/2021 00:00:00,True
4200000025,25,Jourdan-Bachman Pioneer Farms,10621 Pioneer Farms Drive,Austin,78754,10621 Pioneer Farms Drive Austin 78754,Austin,78754,Travis,227,512 837-1215,info@pioneerfarms.org,www.pioneerfarms.org,"Thursday through Sunday, 10:00 a.m. to 5:00 p.m. Group tours with reservations: Tuesday and Wednesday, 10:00 a.m. to 4:00 p.m.",Free,1975,True,False,False,True,"Recorded Texas Historic Landmark, Local Designation",08/12/2021 00:00:00,True
4200000029,29,Neill-Cochran House Museum,2310 San Gabriel Street,Austin,78705,2310 San Gabriel Street Austin 78705,Austin,78705,Travis,227,512 478-2335,info@nchmuseum.org,www.nchmuseum.org,"Wednesday through Sunday, 11:00 a.m.-4:00 p.m.",$10: adults; $8: seniors and students; free: ages 12 and under and members,1962,True,True,False,False,"Recorded Texas Historic Landmark, National Register of Historic Places",01/10/2025 00:00:00,True
4200000030,30,O. Henry Museum,409 E 5th Street,Austin,78701,409 E 5th Street Austin 78701,Austin,78701,Travis,227,512 974-1398,wendi.laws@austintexas.gov,www.austintexas.gov/department/o-henry-museum,"Wednesday through Sunday, noon to 5:00 p.m.",Free,1934,False,True,True,True,"National Register of Historic Places, Subject Marker, Local Designation",09/11/2023 00:00:00,True
4200000033,33,Texas Military Forces Museum,PO Box 5218,Austin,78763,3038 West 35th Street Austin 78703,Austin,78703,Travis,227,512 782-5659,txmilmuseum@gmail.com,www.texasmilitaryforcesmuseum.org,"September - May: Tuesday through Sunday, 10:00 a.m. to 4:00 p.m.","June - August: Open seven days a week, 10:00 a.m. to 4:00 p.m.",1992,True,False,False,False,Recorded Texas Historic Landmark,11/05/2024 00:00:00,True
4200000036,36,Callahan County Library and Pioneer Museum,100 West 4th Street # B1,Baird,79504,100 West 4th Baird 79504,Baird,79504,Callahan,30,325 854-5875,library@callahancounty.org,baird.ploud.net,"Monday through Friday, 1:00 to 5:00 p.m.",Free,1940,False,False,False,False,,01/29/2019 00:00:00,True
4200000037,37,Bastrop County Historical Society Museum,904 Main Street,Bastrop,78602,904 Main Street Bastrop 78602,Bastrop,78602,Bastrop,11,512 303-0057,bastropmuseum@gmail.com,www.bastropcountyhistoricalsociety.com,"Monday through Saturday, 10:00 a.m.to 5:00 p.m.","Adults: $5, members and children under 12: free.",1952,True,True,False,False,"Recorded Texas Historic Landmark, National Register of Historic Places",10/02/2023 00:00:00,True
4200000040,40,Babe Didrikson Zaharias Museum,2135 Brewton Circle,Beaumont,77706,1750 I-10 E Beaumont 77704,Beaumont,77704,Jefferson,123,409 833-4622,Christina.lokey@beaumonttexas.gov,www.babedidriksonzaharias.org,"Monday through Saturday, 9:00 a.m. to 5:00 p.m.",Free,1976,False,False,False,False,,09/30/2021 00:00:00,True
4200000043,43,Brazos Valley Museum of Natural History,3232 Briarcrest Drive,Bryan,77802,3232 Briarcrest Drive Bryan 77802,Bryan,77802,Brazos,21,979 776-2195,events@brazosvalleymuseum.org,www.brazosvalleymuseum.org,Tuesday through Saturday 10:00 a.m. to 5:00 p.m.,"$5: adults, $4: students and seniors: ages 3 and under: free.",1961,False,False,False,False,,09/08/2021 00:00:00,True
4200000046,46,River Valley Pioneer Museum,PO Box 1201,Canadian,79014,118 North 2nd Street Canadian 79014,Canadian,79014,Hemphill,106,806 323-6548,rvmuseum@cebridge.net,www.rivervalleymuseum.org,Tuesday - Friday 10 a.m.  -12 p.m /1 p.m. -3 p.m. Closed Saturday - Monday,Free,1986,False,False,False,False,,10/21/2024 00:00:00,True
4200000047,47,Panhandle-Plains Historical Museum,2503 4th Avenue WTAMU Box 60967,Canyon,79016,2503 4th Avenue Canyon 79015,Canyon,79015,Randall,191,806 651-2244,svoigt@pphm.wtamu.edu,www.panhandleplains.org,"September through May: Tuesday through Saturday, 9:00 a.m. to 5:00 p.m. June thorugh August: Monday through Saturday, 9:00 a.m. to 6:00 p.m., Sunday, 1:00-6:00 p.m.","$12.50: adults, $10: seniors and military, $6: ages 4-12, free: under 4, West TAMU",1928,False,False,False,False,,11/28/2022 00:00:00,True
4200000048,48,Chappell Hill Historical Society Museum,9220 Poplar St,Chappell Hill,77426,9220 Poplar St Chappell Hill 77426,Chappell Hill,77426,Washington,239,979 836-6033,chmuseum@chappellhillmuseum.org,www.chappellhillmuseum.org,"Wednesday though Saturday, 10:00 a.m. to 4:00 p.m.",Free,1964,False,True,True,False,"National Register of Historic Places, Subject Marker",08/14/2021 00:00:00,True
4200000052,52,Texas Country Music Hall of Fame and the Texas Ritter Museum,310 W Panola Streeet,Carthage,75633,310 W Panola Streeet Carthage 75633,Carthage,75633,Panola,183,903 694-9561,cvb@carthagetexas.com,www.tcmhof.com/museum,"Monday through Saturday, 10 a.m. to 4 p.m.","$10: adults, $5: children.",2002,False,False,False,False,,08/09/2021 00:00:00,True
4200000053,53,Layland Museum of History,201 N Caddo Street,Cleburne,76031,201 N Caddo Street Cleburne 76031,Cleburne,76031,Johnson,126,817 645-0940,museum@cleburne.net,www.laylandmuseum.net,"Tuesday through Saturday, 11:00 a.m. to 4:00 p.m.",Free,1963,True,True,True,True,"Recorded Texas Historic Landmark, National Register of Historic Places, Subject Marker, Local Designation",08/12/2021 00:00:00,True
4200000055,55,"Armstrong County Museum, Inc.",120 Trice Street,Claude,79019,120 Trice Street Claude 79019,Claude,79019,Armstrong,6,806 226-2187,ArmstrongCounty.museum@gmail.com,www.armstrongcountymuseum.net,"Tuesday through Saturday, noon to 4:00 p.m.",$3.00,1990,False,False,False,False,,09/01/2021 00:00:00,True
4200000056,56,Fannin County Museum of History,1 Main Street,Bonham,75418,1 Main Street Bonham 75418,Bonham,75418,Fannin,74,903 583-8042,fcmuseum@hotmail.com,www.fannincountymuseum.org,"Tuesday through Saturday, noon to 4:00 p.m.",Free,1965,True,True,False,False,"Recorded Texas Historic Landmark, National Register of Historic Places",08/28/2021 00:00:00,True
4200000057,57,Sam Rayburn House State Historic Site,PO Box 308,Bonham,75418,890 W State Hwy 56 Bonham 75418,Bonham,75418,Fannin,74,903 583-5558,john.akers@thc.texas.gov,www.visitsamrayburnhouse.com,"Tuesday through Saturday, 10:00 a.m. to 4:00 p.m.","Adults: $4, seniors and students, $3, ages 5 and under: free.",1975,True,True,True,False,"Recorded Texas Historic Landmark, National Register of Historic Places, Subject Marker",08/26/2021 00:00:00,True
4200000060,60,Heart of West Texas Museum,340 East 3rd Street,Colorado City,79512,340 East 3rd Street Colorado City 79512,Colorado City,79512,Mitchell,168,325 728-8285,museum@cityofcoloradocity.org,www.heartofwesttexasmuseum.org,"Tuesday through Friday, noon to 5:00 p.m.",Free,1959,True,False,False,False,Recorded Texas Historic Landmark,08/23/2021 00:00:00,True
4200000067,67,Terry County Heritage Museum,PO Box 1063,Brownfield,79316,600 E Cardwell Street Brownfield 79316,Brownfield,79316,Terry,223,806 637-2467,director@brownfieldchamber.com,https://brownfieldchamber.com/2018/09/27/terry-county-heritage-museum/,"Tuesday through Saturday, 10:00 a.m. to noon and 1:00 p.m. to 3:00 p.m.","Adults: $3, children: $1, families: $6.",1974,True,False,True,False,"Recorded Texas Historic Landmark, Subject Marker",08/08/2021 00:00:00,True
4200000069,69,Historic Brownsville Museum,641 E Madison Street,Brownsville,78520,641 E Madison Street Brownsville 78520,Brownsville,78520,Cameron,31,956 548-1313,info@brownsvillehistory.org,www.brownsvillehistory.org,Tuesday through Saturday: 10:00 a.m. to 4:00 p.m.,"Adults: $6, seniors: $4, students: $2, ages 6 and under, members, veterans: free.",,True,True,False,False,"Recorded Texas Historic Landmark, National Register of Historic Places",08/14/2021 00:00:00,True
4200000072,72,Milam County Historical Museum,PO Box 966,Cameron,76520,112 West 1st Street Cameron 76520,Cameron,76520,Milam,166,254 697-8963,cking@milamcounty.net,www.facebook.com/Milam-County-Historical-Museum-158308944186512/,Thursday - Saturday from 10 a.m. - 3: p.m.,Free,1978,True,True,False,False,"Recorded Texas Historic Landmark, National Register of Historic Places",04/18/2025 00:00:00,True
4200000073,73,A.W. Perry Homestead Museum,1509 North Perry Road,Carrollton,75011,1509 North Perry Road Carrollton 75011,Carrollton,75011,Dallas,57,972 466-6380,parksadmin@cityofcarrollton.com,https://www.cityofcarrollton.com/departments/departments-g-p/parks-recreation/facilities/a-w-perry-homestead-museum,"Tuesday through Thursday and Saturday, 11:00 a.m. and 1:00 p.m.",Free,1976,False,False,True,True,"Subject Marker, Local Designation",08/08/2021 00:00:00,True
4200000074,74,Childress County Heritage Museum,210 3rd Street NW,Childress,79201,210 3rd Street NW Childress 79201,Childress,79201,Childress,38,940 937-2261,museum@childressmuseum.com,https://www.facebook.com/Childress-County-Heritage-Museum-104512606273866/,"Tuesday through Saturday, 10:00 a.m. to 5:00 p.m.",Free,1976,True,False,True,False,"Recorded Texas Historic Landmark, Subject Marker",08/08/2021 00:00:00,True
4200000078,78,Comanche County Historical Museum,PO Box 22,Comanche,76442,402 Moorman Road Comanche 76442,Comanche,76442,Comanche,47,325 356-5115,onlymuseum1@verizon.net,www.comanchecountytxmuseum.com,"Wednesday through Saturday, 10:00 a.m. to 4:00 p.m.",Free,1978,False,False,False,False,,08/26/2021 00:00:00,True
4200000080,80,Fire Museum of Texas,400 Walnut,Beaumont,77701,400 Walnut Beaumont 77701,Beaumont,77701,Jefferson,123,409 880-3927,firemuseum@beaumonttexas.gov,,"Monday through Friday, 8:00 a.m. to 4:30 p.m.",Free,1984,True,False,False,False,Recorded Texas Historic Landmark,01/31/2019 00:00:00,True
4200000082,82,John Jay French House,3025 French Road,Beaumont,77706,3025 French Road Beaumont 77706,Beaumont,77706,Jefferson,123,409 898-0348,info@beaumontheritage.org,https://beaumontheritage.org/john-jay-french-house/,"Tuesday through Friday, 10:00 a.m. to 3:00 p.m., Saturday, 10:00 a.m. to 2:00 p.m.","Ages 5 and up: $5, ages 4 and under: free.",1969,False,False,True,True,"Subject Marker, Local Designation",01/31/2019 00:00:00,True
4200000083,83,McFaddin-Ward House,725 Third Street,Beaumont,77701,1906 Calder Avenue Beaumont 77701,Beaumont,77701,Jefferson,123,409 832-1906,tchauveaux@mcfaddin-ward.org,www.mcfaddin-ward.org,"Wednesday through Saturday, 9:00 a.m. to 2:30 p.m. Sunday, 12:30 to 2:30 p.m. Group tours on Tuesdays.",Free,1983,True,True,False,False,"Recorded Texas Historic Landmark, National Register of Historic Places",08/10/2021 00:00:00,True
4200000084,84,Spindletop-Gladys City Boomtown,PO Box 10070,Beaumont,77710,Lamar University 5550 Jimmy Simmons Blvd Beaumont 77705,Beaumont,77705,Jefferson,123,409 880-1750,gladyscityinfo@gmail.com,www.lamar.edu/spindletop-gladys-city,"Tuesday through Saturday, 10:00 a.m. to 5:00 p.m. Sunday, 1:00-5:00 p.m.","$5: adults, $3: seniors, $2: ages 6-12, free: ages 5 and under, university students, staff, and faculty, active military.",1976,False,False,False,False,,08/12/2021 00:00:00,True
4200000086,86,Bell County Museum,P.O. Box 1381,Belton,76513,201 N Main Street Belton 76513,Belton,76513,Bell,14,254 933-5243,museum@bellcounty.texas.gov,www.bellcountymuseum.org,"Tuesday through Friday, 12:00 p.m. to 5:00 p.m. Saturday, 10:00 a.m. to 5:00 p.m.",Free,1988,True,True,False,False,"Recorded Texas Historic Landmark, National Register of Historic Places",08/26/2021 00:00:00,True
4200000089,89,Heritage Museum of Big Spring,510 Scurry Street,Big Spring,79720,510 Scurry Street Big Spring 79720,Big Spring,79720,Howard,114,432 267-8255,heritagemus@gmail.com,www.heritagebigspring.com,"Tuesday through Friday, 9:00 a.m. to 4:00 p.m. Saturday, 10:00 a.m. to 4:00 p.m.",Free,1970,False,False,False,False,,09/01/2021 00:00:00,True
4200000090,90,Sam Rayburn Museum,PO Box 309,Bonham,75418,800 W Sam Rayburn Drive (St. Hwy 56) Bonham 75418,Bonham,75418,Fannin,74,903 583-2455,rayburn@austin.utexas.edu,briscoecenter.org/sam-rayburn-museum/,"Monday through Friday, 9:00 a.m. to 4:30 p.m., Saturday 10:00 a.m. to 2:00 p.m.",Free,1957,False,False,False,False,,10/03/2021 00:00:00,True
4200000091,91,Hutchinson County Historical Museum,618 N Main Street,Borger,79007,618 N Main Street Borger 79007,Borger,79007,Hutchinson,117,806 273-0130,clayr@hutchinsoncnty.com,www.hutchinsoncountymuseum.org,"Tuesday through Friday, 9:00 a.m. to 5:00 p.m. Saturday, 1:00 to 4:30 p.m.",Free,1977,True,False,True,False,"Recorded Texas Historic Landmark, Subject Marker",08/26/2021 00:00:00,True
4200000095,95,Swenson Memorial Museum,PO Box 350,Breckenridge,76424,116 W Walker Street Breckenridge 76424,Breckenridge,76424,Stephens,215,254 559-8471,swensonmuseum1976@gmail.com,facebook.com/swensonmemorialmuseum,"Tuesday through Friday, 10:00 a.m. to 5:00 p.m. Saturday, 10:00 a.m to 2:00 p.m.",Free,1976,True,False,False,False,Recorded Texas Historic Landmark,08/08/2021 00:00:00,True
4200000097,97,Heritage Museum of Montgomery County,P.O. Box 2262,Conroe,77305,1506 Interstate 45 N Conroe 77301,Conroe,77301,Montgomery,170,936 539-6873,muse@consolidated.net,www.heritagemuseum.us,"Wednesday through Saturday, 9:00 a.m. to 4:00 p.m.",Free,1984,False,False,False,False,,03/13/2024 00:00:00,True
4200000099,99,Texas State Museum of Asian Cultures and Education Center,1809 N Chaparral,Corpus Christi,78401,1809 N Chaparral Corpus Christi 78401,Corpus Christi,78401,Nueces,178,361 881-8827,info@texasasianculturesmuseum.org,www.texasasianculturesmuseum.org,"Wednesday through Saturday, noon to 5:00 p.m.","Adults: $6, seniors and military: $5, students: $4, ages 4-12: $3, under 4 and law enforcement: free.",1973,False,False,False,False,,09/30/2021 00:00:00,True
4200000100,100,Corpus Christi Museum of Science & History,1900 N Chaparral,Corpus Christi,78401,1900 N Chaparral Corpus Christi 78401,Corpus Christi,78401,Nueces,178,361 826-4667,ccmuseum@ccmuseum.com,www.ccmuseum.com,"Tuesday through Saturday, 10:00 a.m. to 5:00 p.m. Sunday, noon to 5:00 p.m. Open on Mondays Memorial Day to Labor day.","Adults: $12, ages 12 and under: $9, seniors and military: $9, ages 2 and under: free.",1957,False,False,False,False,,11/08/2022 00:00:00,True
4200000103,103,Crosby County Pioneer Memorial Museum,101 W Main Street,Crosbyton,79322,101 W Main Street Crosbyton 79322,Crosbyton,79322,Crosby,54,806 675-2331,ccpmmuseum@gmail.com,www.ccpmmuseum.com,"Tuesday through Saturday, 9:00 a.m. to noon and 1:00 to 5:00 p.m.",Free,1958,False,False,True,False,Subject Marker,08/13/2021 00:00:00,True
4200000106,106,Dewitt County Historical Museum,312 E. Broadway Street,Cuero,77954,312 E Broadway Street Cuero 77954,Cuero,77954,DeWitt,59,361 275-6322,dewittcountyhistoricalmuseum@yahoo.com,www.cityofcuero.com/444/DeWitt-County-Historical-Museum,"Tuesday through Friday, 10:00 a.m. to 12:00 p.m. and 1:00 to 4:00 p.m.",Free,1972,True,True,True,True,"Recorded Texas Historic Landmark, National Register of Historic Places, Subject Marker, Local Designation",12/05/2022 00:00:00,True
4200000107,107,XIT Museum,PO Box 730,Dalhart,79022,108 E 5th Street Dalhart 79022,Dalhart,79022,Dallam,56,806 244-5390,xitmuseum@xit.net,www.xitmuseum.org,"Tuesday through Saturday, 9:00 a.m. to 5:00 p.m.",Free,1975,False,False,False,False,,08/26/2021 00:00:00,True
4200000112,112,Hall of State in Fair Park,PO Box 150038,Dallas,75315,3939 Grand Ave Dallas 75210,Dallas,75210,Dallas,57,214 421-4500,zaneta@dallashistory.org,dallashistory.org/visit/hall-of-state,"Tuesday through Saturday, 10:00 a.m. to 5:00 p.m. Sunday, 1:00 to 5:00 p.m.",Free,1936,False,False,False,False,,07/06/2022 00:00:00,True
4200000115,115,Meadows Museum,PO Box 750357,Dallas,75275,5900 Bishop Boulevard Dallas 75205,Dallas,75205,Dallas,57,214 768-2516,csanger@smu.edu,www.meadowsmuseumdallas.org,"Tuesday through Saturday, 10:00 a.m. to 5:00 p.m., Thursday until 9:00 p.m. Sunday, 1:00 to 5:00 p.m.","Adults: $12, seniors: $10, non-SMU students: $4, SMU and children under 12: free.",1965,False,False,False,False,,08/26/2021 00:00:00,True
4200000116,116,Old City Park,1515 S. Harwood Street,Dallas,75215,1515 S. Harwood Street Dallas 75215,Dallas,75215,Dallas,57,214 421-5141,info@oldcityparkdallas.org,www.oldcityparkdallas.org,"Thursday through Monday, 10:00 a.m. to 4:00 p.m. Thursday, 6:00 to 9:00 p.m.","Adults: $10, seniors: $8, ages 4-12: $6.",1966,False,False,False,False,,08/30/2022 00:00:00,True
4200000119,119,Whitehead Memorial Museum,1308 S Main Street,Del Rio,78840,1308 S Main Street Del Rio 78840,Del Rio,78840,Val Verde,233,830 774-7568,info@whiteheadmuseum.org,www.whiteheadmuseum.org,"Tuesday through Saturday, 10:00 a.m. to 6:00 p.m. Sunday, 1:00 to 5:00 p.m.","Adults: $8, military and seniors: $6, children: $5, ages 5 and under: free.",1962,True,False,False,False,Recorded Texas Historic Landmark,08/09/2021 00:00:00,True
4200000120,120,Grayson County Frontier Village,PO Box 646,Denison,75021,111 RC Vaughan Rd. Denison 75020,Denison,75020,Grayson,91,903 463-2487,gcfrontiervillage@gmail.com,www.graysoncofrontiervillage.us,"Wednesday through Sunday, 10:00 a.m. to 4:00 p.m.",$4.00,1990,False,False,False,False,,09/03/2021 00:00:00,True
4200000121,121,Courthouse-on-the-Square Museum,110 W. Hickory,Denton,76201,110 W. Hickory Denton 76201,Denton,76201,Denton,62,940 349-2850,peggy.riddle@dentoncounty.gov,www.dentoncounty.gov/Facilities/Facility/Details/CourthouseontheSquare-Museum-11,"Monday through Friday, 10:00 a.m. to 4:30 p.m. Saturday, 11:00 a.m. to 3:00 p.m.",Free,1979,True,True,False,False,"Recorded Texas Historic Landmark, National Register of Historic Places",09/15/2021 00:00:00,True
4200000122,122,Denver City Museum,P.O. Box 1024,Denver City,79323,117 North Avenue B Denver City 79323,Denver City,79323,Yoakum,251,806 592-2897,denvercitycofc@valornet.com,denvercitychamber.com,"Tuesday through Thursday, 1:00 to 4:00 p.m.",Free,1987,False,False,False,False,,09/15/2021 00:00:00,True
4200000124,124,Prairie Edge Museum,408 East Main St,Eagle Lake,77434,408 East Main St Eagle Lake 77434,Eagle Lake,77434,Colorado,45,979 234-7442,info@visiteaglelake.com,www.prairieedgemuseum.org,"Monday through Friday, 9:00 a.m. to 1:00 p.m.  Saturday and Sunday, 2:00 to 5:00 p.m.",Free,1983,False,False,False,False,,11/08/2022 00:00:00,True
4200000125,125,Heritage Park Museum of East Texas,PO Box 765,Edgewood,75117,103 East Elm Street Edgewood 75117,Edgewood,75117,Van Zandt,234,903 896-1940,info@heritageparkmuseumofetx.org,www.heritageparkmuseumofetx.org,"Thursday through Saturday, 9:00 a.m. to noon.",$5.00,1976,True,False,False,False,Recorded Texas Historic Landmark,08/12/2021 00:00:00,True
4200000127,127,Texana Museum and Library,403 N Wells Street,Edna,77957,403 N Wells Street Edna 77957,Edna,77957,Jackson,120,361 782-5431,texanamuseum@gmail.com,facebook.com/TexanaMuseum,"Monday through Friday, 9:00 a.m. to noon and 1:00 to 4:00 p.m.",Free,1963,False,False,False,False,,08/08/2021 00:00:00,True
4200000133,133,Chamizal National Memorial,800 South San Marcial Street,El Paso,79905,800 South San Marcial Street El Paso 79905,El Paso,79905,El Paso,70,915 490-0579,anne_doherty-stephan@nps.gov,www.nps.gov/cham/,"Park open daily, 7:00 a.m. to 10:00 p.m. Visitor Center open daily, 10:00 a.m. to 5:00 p.m.",Free,1967,False,False,False,False,,10/03/2021 00:00:00,True
4200000134,134,El Paso Holocaust Museum & Study Center,715 North Oregon Street,El Paso,79902,715 North Oregon Street El Paso 79902,El Paso,79902,El Paso,70,915 351-0048,admin@elpasoholocaustmuseum.org,www.elpasoholocaustmuseum.org,"Tuesday through Friday, 9:00 a.m. to 5:00 p.m., Saturday and Sunday, 1:00 to 5:00 p.m.",Free,1992,False,False,False,False,,11/08/2022 00:00:00,True
4200000136,136,El Paso Museum of History,510 N Santa Fe Street,El Paso,79901,510 N Santa Fe Street El Paso 79901,El Paso,79901,El Paso,70,915 212-0320,cityhistorymuseum@elpasotexas.gov,www.history.elpasotexas.gov,"Thursday through Saturday, 10:00 a.m. to 6:00 p.m.",Free,1974,False,False,False,False,,08/11/2021 00:00:00,True
4200000138,138,Magoffin Home State Historic Site,1120 Magoffin Ave,El Paso,79901,1120 Magoffin Ave El Paso 79901,El Paso,79901,El Paso,70,915 533-5147,magoffin-home@thc.texas.gov,www.visitmagoffinhome.com,"Tuesday through Sunday, 9:00 a.m. to 4:00 p.m.","Adults: $7, seniors: $6, children and students: $4, ages 5 and under: free.",1976,True,True,True,True,"Recorded Texas Historic Landmark, National Register of Historic Places, Subject Marker, Local Designation",07/06/2022 00:00:00,True
4200000141,141,Ennis Railroad and Cultural Heritage Museum,P.O. Box 220,Ennis,75120,105 NE Main Street Ennis 75119,Ennis,75119,Ellis,71,972 875-1901,jdiaz@ennistx.gov,www.ennistx.gov/Museum,"Tuesday through Saturday, 10:00 a.m. to 4:00 p.m. Sunday, 1:00 to 4:00 p.m.",Adults $3; Children under 12 are free,1993,False,False,False,False,,11/22/2024 00:00:00,True
4200000143,143,Freestone County Historical Museum,PO Box 524,Fairfield,75840,320 Main Street Fairfield 75840,Fairfield,75840,Freestone,81,903 389-3738,freestonecomuseum@windstream.net,www.freestonecomuseum.com,"Wednesday, Friday, and Saturday, 10:00 a.m. to 5:00 p.m.",$3.00,1968,True,False,False,False,Recorded Texas Historic Landmark,08/11/2021 00:00:00,True
4200000144,144,The Heritage Museum at Falfurias,P.O. Box 86,Falfurrias,78355,515 North St. Mary Street Falfurrias 78355,Falfurrias,78355,Brooks,24,361 325-2907,ltcantu@brookscountyisd.net,www.heritagemuseum-falfurrias.org,"Tuesday through Saturday, 10:00 a.m. to 2:00 p.m. or by appointment.",Free,1965,False,False,False,False,,11/08/2022 00:00:00,True
4200000145,145,Farmers Branch Historical Park,PO Box 819010,Farmers Branch,75381,2540 Farmers Branch Lane Farmers Branch 75234,Farmers Branch,75234,Dallas,57,972 406-0184,historicalpark@farmersbranchtx.gov,www.fbhistoricalpark.com,"Monday through Friday, 8:00 a.m. to 5:00 p.m. Saturday and Sunday, noon to 5:00 p.m. Open one hour later during Daylight Savings Time.",Free,1986,True,False,False,True,"Recorded Texas Historic Landmark, Local Designation",09/15/2021 00:00:00,True
