Cid,Title,County,CountyId,City,Address,Zip,CurrentUse,Owner,ServiceDates,ConstructionDate,Architect,Contractor,Style,SQFTAPPROX,Rthl_Text,Rthl,SAL_Text,Sal,NRDISTRICT,NRINDIV,Nr,HD_Eligible,Description,SubstantialMod,COVEXP,FEDGRANTPR,FEDGRANTYR,STGRANTPROJ,STGRANTAMT,STGRANTYR,HISTSTRURE,HSR_AUTHOR,MASTERPLAN,MP_AUTHOR,HABS,SERIAL_,POP1995EST,Easement,Easement_Executed,Easement_Expiration,Master_Plan,Architect_Firm,Bibliography,Construction_Docs,Interior_Images,Atlas_Number
223,Atascosa County Courthouse (1912),Atascosa,7,"Jourdanton ","1 Courthouse Circle Dr. Jourdanton, TX 78026",,"Active Courthouse ","County    ","1912-present ",1912,"Henry T. Phelps                                                                     ","Gordon Jones Construction Co.                          ","Mission Revival                                             ",0,"SM   ",True,,True,,under,True,False,"Constructed in the Mission Style of dark brick with limestone base and details, and Spanish tile parapets, roofs and towers. ","1976: Bronze anodized aluminum windows with dark tint glazing installed by Hohnson-Dempsey Architects, James Cude Contractor
1987: ""orange"" tile roof installed.                                                                                              ","n/a  ",,,,0,,,,,,"no           ",9,,Easement,06/26/2000 00:00:00,perpetuity,True,,,,,4302000223
2200,Austin County Courthouse (1848),Austin,8,Bellville,,,,,,1848,,Benjamin L. Cheek,,,,False,,False,,,False,False,"0ne story, wood frame, built on a lot that was 31 1/2 feet wide by 60 feet deep (Lot 4, Block F), accepted August 26, 1848, first meeting September 21, 1848, county records had previously been stored in San Felipe",,,,,,,,,,,,,0,,,,,False,,,,,4302002200
2201,Austin County Courthouse (1850),Austin,8,Bellville,,,,,,1850,,Sam Shelburne,,,,False,,False,,,False,False,"one story, wood frame, central courtroom with two offices on each side and shed roofed porch, Salamander Fire Proof safe purchase for this building authorized May 17, 1854, November 19, 1855 it was authorised that the building be sold (to be moved) at auction ",,,,,,,,,,,,,0,,,,,False,,,,,4302002201
2202,Austin County Courthouse (1855),Austin,8,Bellville,,,"gone demolished 1887, some iron portions reportably salvaged and reused on other",na,,1855,,Philip M. Cuny,,,,False,,False,,,False,False,"built to plans and specifications ""on file"" with county as of May 17, 1854, $14,790,  to be built to the rear and to the west of 1850 courthouse but December 27, 1854 decided to move existing courthouse to one side to make room for new the one,  two story, brick, courtroom and jury on second to be reached via a pair of exterior stairs and county offices on the first floor, ""12 columns outside of and in connection with the building"", foundation to be ""18inches beneath the surface of the earth and 3 feet wide and to be laid upon good post oak lumber 6 inches in thickness"", completed Novenber 20, 1855, 1875 description mentions ""an iron portico from which the oyez of time were sounded"" on the east side, $2950 addition made and $560 Mosler safe installed in 1877, $150 iron veranda added 1880, architect Eugene Heiner of Houston recorded as observing that the building was ""liable to fall at almost any moment"" on September 3, 1884",,,,,,,,,,,,,0,,,,,False,,,,,4302002202
2208,Austin County Courthouse (1887),Austin,8,Bellville,,,burned 4/5/1960,na,,1887,Eugene Thomas Heiner,"Henry Kane (Gonzales, Texas)",Second Empire,0,,False,,False,,,False,False,"$37,500, accepted March 25, 1887, three story, crossing hallway plan, w/ long axis along east-west corridor, courtroom stretched all the way across the second floor running north and south, clock tower, clock purchased by subscription in 1886",,,,,,,,,,,,,0,,,,,False,,"The People's Architecture , ""The Architecture of Eugene T. Heiner (1852-1901)' - unpublished study by David C. Bucek ",,,4302002208
2209,Austin County Courthouse (1960),Austin,8,Bellville,"1 E Main St, Bellville, TX 77418",,Active Courthouse,County,,1960,Wyatt Hedrick,,Modern Style,0,,False,,False,,,False,False,"Constructed of granite, glass, concrete and aluminum details in the Modern style.",,,,,,,,,,,,,0,,,,,False,,"The People's Architecture ",,,4302002209
2210,Bailey County Courthouse (1917),Bailey,9,Muleshoe,,,,,,1917,,,,,,False,,False,,,False,False,Wood frame courthouse. Cost $2450.,,,,,,,,,,,,,0,,,,,False,,,,,4302002210
224,Bailey County Courthouse (1925),Bailey,9,Muleshoe,"300 S. First Street, Muleshoe TX 79347",,"Active Courthouse ","County    ","1925-present ",1925,"M.C. Butler                                                                         ",,"Classical Revival                                           ",,,False,,False,,"no   ",False,False,"Constructed of brick and cast stone details in the Classical Style, including a capped parapet, pedimented entries, and ornamental brick coursing.","-Elevator added(ADA)                                                                                                                                                                                                                                          ","n/a  ",,,,0,,,,,,"no           ",12,,,,,False,,,county commissioners court minutes (THCPP MP - copy),,4302000224
225,Bandera County Courthouse (1890),Bandera,10,Bandera,"500 Main St. Bandera, TX 78003",,"Active Courthouse ","County    ","1890-present ",1890,"B.F. Trester, Jr.","Ed Braden & Sons, San Antonio and E. Huffmeyer, Bandera","Renaissance Revival                                         ",,"1979 ",True,"1981 ",True,,"1979 ",True,False,"Constructed in the Renaissance Revival style of rusticated limestone with sheet metal details including dentiled cornice, central cupola, fluted pilasters and pitched and mansards roofs.","-Remodeled in 1961 with a one story addition to the east aluminum window replacement, and interior modernization;  -1979-1980 repairs to roof and dome made-Elevator and handicap ramp (ADA)","n/a  ",,,,0,,,,In Process,"Wagner & Klein, Fredericksburg                  ","TX-3420      ",15,,Easement,07/09/2004 00:00:00,perpetuity,True,,The People's Architecture,,,4302000225
21,Bandera County Courthouse Library (1869),Bandera,10,"Bandera        ","12th and Maple, Bandera, TX 78003",,"Library           ","County    ","1877-1890    ",1869,"Henry White                                                                         ","Henry White                                            ",,,"1979 ",True,"1992 ",True,,"1979 ",True,False,Simple two story vernacular building constructed of limestone.,Abandoned as courthouse in 1892 upon completion of new courthouse on square.  A hooded brick flue for a stove was added to the west elevation in the late 19th century.  Interior remodeled in 1978-79 for use as county offices.  Corrugated metal roof replaced original cypress roof.,,,,,,,,,,,,,,,,,,,,,,4302000021
226,Bastrop County Courthouse (1883),Bastrop,11,"Bastrop ","804 Pecan St, Bastrop, TX 78602",,"Active Courthouse ","County    ",,1883,"Jasper N. Preston & Frederick E. Ruffini                                        ",,"Renaissance Revival with Prairie School modifications       ",0,"1964 ",True,"1981 ",True,"1978 ","1975 ",True,False,The original Reinaissance Revival style courthouse was modified in 1923 with the removal of the gabled roof and pedimented bays and soaring central tower. The dentiled cornice was replaced by a Mission style parapet and the original limestone facade covered with stucco.,"Extensively remodeled in 1923 in the ""Prairie Style"" when clock tower was removed, cornice eliminated, brick details changed, and plaster coated.  Copper dome replaced original tower.  CH Page & Brothers.
1953: Addition constructed
1989: Substantial reno","n/a  ",,,,0,,,,"1989      ","Kim Williams, AIA                               ","no           ",16,,,,,False,,"The People's Architecture, Gone From Texas",,,4302000226
2214,Bastrop County Courthouse (1832),Bastrop,11,Bastrop,,,gone / burned 1836,na,,1832,,,,,,False,,False,,,False,False,,,,,,,,,,,,,,0,,,,,False,,,,,4302002214
2215,Bastrop County Courthouse (1852),Bastrop,11,Bastrop,,,,,,1852,,,,,,False,,False,,,False,False,wooden structure,,,,,,,,,,,,,0,,,,,False,,,,,4302002215
2217,Baylor County Courthouse (1884),Baylor,12,Seymour,,,gone,na,,1884,James  Edward Flanders,Ferrier Brothers & Wirz,Italianate,,,False,,False,,,False,False,"tower replaced with dome, ",,,,,,,,,,,,,0,,,,,False,,"The People's Architecture ; Ferrier Builders, Inc. history from website http://www.cowtown.net/users/ferrier-builders/",,"Law Library 1910 ABT Salt Pork to Sirloin Sheriff's Office 1910 Salt Pork to Sirloin???, County Clerk's Office 1926 Salt Pork to Sirloin",4302002217
2218,Baylor County Courthouse (1968),Baylor,12,Seymour,"109 S. Washington Street, Seymour TX 76380",,Active Courthouse,County,,1968,"Pierce, Norris & Pace",,Modern Style,0,,False,,False,,,False,False,"A single story courthouse constructed using concrete panels and detailing in the Modern style. ",,,,,,,,,,,,,0,,,,,False,"Pierce, Norris, Pace & Associates",,,,4302002218
2219,Bee County Courthouse (1858),Bee,13,Maryville (Beeville),,,,,,1858,,,"vernacular ",,,False,,False,,,False,False,"vernacular, wood picket, ",,,,,,,,,,,,,0,,,,,False,,,,,4302002219
2220,Bee County Courthouse (1860),Bee,13,Beeville,,,burned 1888,na,,1860,,,,0,,False,,False,,,False,False,"frame, rented",,,,,,,,,,,,,0,,,,,False,,,,,4302002220
2221,Bee County Courthouse (1879),Bee,13,Beeville,,,gone / burned 1/15/1911,na,,1879,,,Greek Revival,,,False,,False,,,False,False,"Bee County's second courthouse was built towards the end of the antebellum period.  It was a two-story building with a Mansard roof and a roof pavilion at the top. Its front entrance was emphasized by a two-story 'Transitional' (Classical Revival) portico. Square plan, 2 story, Cost $3425.",,,,,,,,,,,,,0,,,,,False,,"The People's Architecture ",,,4302002221
213,Bee County Courthouse (1912),Bee,13,"Beeville       ","105 W.Corpus Christi St. Beeville, TX 78102",,"Active Courthouse ","County    ",,1912,"Stephenson and Heldenfels                                                           ","W.C. Whitney                                           ","Classical Revival                                           ",,"     ",True,,True,,"no   ",True,False,Three story buff brick structure with limestone details and large temple entries framed by giant columns and engaged pilasters. The central tower is topped by a beehive domed roof and Lady Justice statue.,"Remodeling by Ayres & Ayres in 1973.  Severe fire damage and vandalism in late 1990- early 1991.                                                                                                                                                              ","n/a  ",,,,0,,,,,,"no           ",19,,Easement,01/10/2001 00:00:00,perpetuity,True,Stephenson & Heldenfelds,The People's Architecture,1948 remodel plans (THC - copy),Office 1915 ABT THCPP Bee CCH Master Plan; District Courtroom 1945 ABT THCPP files,4302000213
214,Bell County Courthouse (1884),Bell,14,"Belton         ","101 E Central Ave, Belton, TX 76513",,"Active Courthouse ","County    ","1884-present ",1884,"Jasper N. Preston                                                                   ","Ben Lee                                                ","Renaissance Revival                                         ",33000,"SM   ",True,"1981 ",True,,"1976 ",True,False,"Designed in the Renaissance Revival style and constructed of local limestone with sheet metal details. All four entries are framed with a two story, pedimented portico and the central cupola features a Lady Justice at its apex.","-Central tower with statue and sheet metal cornices have been removed.  -Metal windows replaced original 2/2 wood windows.1950: Elevator added and interior  extensively remodeled.- ISTEA Grant - Reconstruction of the 125 foot clock tower, new clock faces, new operable clock works, a 12 foot Goddess of Justice, two new decorative hip roof ventilator cupolas and other missing decorative roof components. Additionally, approximately 4,000 feet of sidewalks, curbs, lighting, landscaping and pavement replacement are inlcuded. $480,800=courthouse. $630,720=landscaping. Phase !, landscaping, was let to contract in Feb. 1997. Phase II, courthouse, will be let by the county in Jan. 1998. ","n/a  ",,,,0,,1993,"The Williams Company, Austin  512/346-8546      ","1993      ","The Williams Company, Austin  512/346-8546      ","TX-3421      ",20,,,,,True,,"The People's Architecture, Gone From Texas ","commissioner's court minutes (THCPP MP - copy), architect's rendering (THCPP MP - copy), specifications PORTIONS (THCPP MP - copy), furniture list (THCPP MP - copy)",District Clerk's Office	1910	ABT,4302000214
2223,Bell County Courthouse (1851),Bell,14,Nolanville (Belton),,,,,,1851,,,Greek Revival?,,,False,,False,,,False,False,"frame 18' x 30',  drawing on p. 38 ""Story of Bell County""",,,,,,,,,,,,,0,,,,,False,,,,,4302002223
2224,Bell County Courthouse (1858),Bell,14,Belton,,,,,,1858,,,Greek Revival?,,,False,,False,,,False,False,"When the Bell County officials finally decided to move headquarters, they ordered a building large enough to meet their growing needs. Their new courthouse would prove to cost the taxpayers more than they wanted to give, though none of the officers were re-elected in the next election but the new building served the county well for twenty four years. The dimensions of the building were 50 feet along the north and south faades and 60 feet along the east and west faades. It was a two-story structure faced with native limestone, with oak shingles on its hip roof. The entrances on the north and south sides were double doors with transoms on the tops and sides. There were minor entrances on the remaining sides with stairwells near them. The first floor had intersecting halls from east to west and north to south; the main hall connected to two major entrances. Flagstone was used for the floors on the first level of the building, where the offices for the county.     Drawing on p. 39 of Story of Bell County.",,,,,,,,,,,,,0,,,,,False,,,1853 specifications NOT BUILT (THCPP MP- copy),,4302002224
2227,"Bexar County Courthouse (a.k.a. ""The Bat Cave"") (1850)",Bexar,15,San Antonio,,,gone / demolished 1889,na,,1850,,,Greek Revival and Georgian,,,False,,False,,,False,False,Two story structure--Old Bat Cave,,,,,,,,,,,,,0,,,,,False,,"The People's Architecture ",,,4302002227
2228,"Bexar County Courthouse (a.k.a. ""Masonic Building"") (1882)",Bexar,15,San Antonio,,,gone,na,,1882,,D.C. Anderson,Second Empire,,,False,,False,,,False,False,"3 1/2-story limestone structure adapted from the Free Masons lodge building (ca. 1858).  Dominant mansard roofs, cast iron cresting, balconies, and bulls eye windows embellished the faades.",,,,,,,,,,,,,0,,,,,False,,"Gone From Texas ",lithograph of front elevation (THC -copy),,4302002228
215,Bexar County Courthouse (1896/1914/1926),Bexar,15,"San Antonio    ","100 Dolorosa St. San Antonio, TX 78205",,"Active Courthouse ","County    ","1896-present ",1896/1914/1926,"J. Riely Gordon                                                                     ","Dugan & Kroeger                                        ","Richardsonian Romanesque                                    ",,"1976 ",True,"1981 ",True,"1979 ","1977 ",True,False,"Designed by renowned courthouse architect J. Riely Gordon and constructed of granite and red sandstone in the Romanesque style in 1892, the building includes two distinctly designed, off-center towers, heavy rounded arches, rusticated stone, hipped, clay tile roofs. In 1914 and again in 1926, large additions were constructed behind the original courthouse.","Construction begins in 1892 but is marred by many delays. Occupancy begins in 1895 or 1896. In 1914 5-story addition designed by architect Leo Dielmann and constructed. In 1926 West wings and enclosure of east patio by Phelps & Dewees; 1963: County Court at Law addition at the southwest corner. In 1970 Extensive remodeling by Edward R. Gondeck and Hilmer Uhr contractor; In 1973 6th floor and 5th floor law library designed by Jack Peterson and John Williams.  Water pressure cleaned in 1976.
In 1992 the interior remodeling of the first floor by Jim Suggs of 3D/I, San Antonio.
Roof repairs & restoration of the green, clay tiles, 1996-97.
",,,,,,,,,,,,,,Easement,10/31/2000 00:00:00,10/31/2010,,,The People's Architecture,"commissioner's court minutes (THCPP MP - copy), architect's renderings (THCPP MP - copy), specifications (THCPP MP - copy), architect's description (THCPP MP -copy), 1914 remodel specifications (THCPP MP - copy)","Office 1920 ABT THCPP Bexar CCH Master Plan, 4th Court of Appeals Courtroom 1928 ( 5th flr.) THCPP Bexar CCH Master Plan, 4th? Court of Appeals Courtroom 1930 ABT (5th flr.?) THCPP Bexar CCH Master Plan, Office 1930 ABT THCPP Bexar CCH Master Plan, Office 1932 ABT (date of end of prohibition?) THCPP Bexar CCH Master Plan, Courtroom 1939 THCPP Bexar CCH Master Plan, Office 1940 ABT (C.L. Heard's name on door) THCPP Bexar CCH Master Plan, Courtroom 1940 ABT THCPP Bexar CCH Master Plan, Courtroom 1940 ABT (date of flood?) THCPP Bexar CCH Master Plan, Hallway 1970 ABT, 37th District Courtroom 2nd Floor 1927 THCPP files ",4302000215
216,Blanco County Courthouse (1916),Blanco,16,"Johnson City   ","101 E Pecan Dr, Johnson City, TX 78636",,"Active Courthouse ","County    ","1916-present ",1916,"Henry T. Phelps                                                                     ","James Waterston, Scotland                              ","Classical Revival                                           ",,"1983 ",True,,False,,"no   ",False,False,"Classical Revival structure featuring limestone and sheet metal details including chimneys and engaged columns of limestone, pedimented entry bays and a small domed cupola. ","-A balustrade has been removed from the cupola 1997-98: Emergency repairs undertaken to the roof and cupola structure. (Volz & Assoc., Austin)- ISTEA Grant - replace the roof and flashing and repair and replace downspouts. Project is scheduled to be let in January 1998. ",,,,,0,,,,,,,26,,Easement,10/25/1993 00:00:00,9/1/2003,True,,The People's Architecture,plans (THCPP MP - copy),,4302000216
2230,Blanco County Courthouse (1860),Blanco,16,Blanco,,,burned 8/15/1876,na,,1860,,,,0,,False,,False,,,False,False,One story. Wood frame courthouse built on the south side of the square.,1860: second floor added to house the Masonic Lodge1876: destroyed by fire,,,,,,,,,,,,0,,,,,False,,,,,4302002230
24,Blanco County Courthouse Community Center (1886),Blanco,16,Blanco,"300 Main St, Blanco, TX 78606",,"Community Center  ",Non-Profit,"1886-1890    ",1886,"F.E. Ruffini                      ",Phil P. Cage &C.P Boon,"Second Empire with Italianate influences                    ",,"1972 ",True,,True,"1991 ","no   ",True,False,"Constructed of limestone in the Second Empire style with Italianate influences, including mansard roofs and metal detailing such as a bracketed cornice, ocular dormers, and highly ornamental cresting. ","1890: County seat moved to Johnson City.  
1894-1902: Used as Blanco High School.
1901: Blanco County sells the courthouse and square.  
1906: Blanco National Bank is formed and buys the courthouse for its office.
1920: Used as a school.
1924: Charles E. Crist purchases the building from the bank.
1932-43: Offices of the Blanco County News were in the building.
1933: Used as a bakery for the CCC.
1937-1938: Served as a hospital.
1940-1966: Served as a hospital.  
1971-1973: Blanco Museum of the Early West
1976: Salt Lick restaurant opens in the courthouse
1981-86: Vacant  
1986: Sold to John W. O'Boyle of Dallas. Plans are made to disassemble the building and move it to his ranch.
1991: Purchased by the Old Blanco County Courthouse Preservation Society-Roof has lost its Second Empire-style turrets.
  1997/98 ISTEA Grant - exterior work","2003 ",,,"Exterior and interior door rehabilitation                                                                               ",6325,"1983        ",,,,,"no           ",25,,,,,False,,"The People's Architecture . ""F. E. and Oscar Ruffini, Texas Architects, 1877-1917"" dissertation in history by Susan Jean Dickey, Texas Tech University, 1993.","plans (THC - copy), specifications (THC - copy)",,4302000024
2238,Borden County Courthouse (1890),Borden,17,Gail,,,,,,1890,,,"vernacular ",,,False,,False,,,False,False,"vernacular, square plan, 2 story, frame ",,,,,,,,,,,,,0,,,,,False,,"The People's Architecture ",,,4302002238
217,Borden County Courthouse (1939),Borden,17,"Gail           ","117 E. Wasson, Gail TX 79738",,"Active Courthouse ","County    ",,1939,"David S. Castle                                                                     ","Dunlap & Coughrun                                      ","Moderne                                                     ",,,False,,False,,"no   ",False,False,"Moderne single-story brick structure with decorative, carved limestone relief over the windows and dntry doors. ",Replacement metal windows.,,,,,0,,,,,,,27,,,,,False,,,,,4302000217
