SalID,Sal,Address,City,Zip,County,CountyId,Owner,Owner_Address,Owner_City,Owner_State,Owner_Zip,Owner_Phone,Trinomial,Modified_Date,Shipwreck,Building_Listed,Building_District,Structure_Listed,Structure_District,Site,Object,District,Atlas_Number,Historic,Prehistoric,PublicPrivate,Public_private,USGS_Map,USGS_Number,UTM_Datum,UTM_Zone,Acreage,Location_Note,Cultural_Affiliation,Sal_Group,Designation_date,Site_Description,Deed_Filed,Landowner_Notified,Marker_Placed,Location_Restricted,Notes,Archeological_General,Architectural_General,Nearest_City,NR,FullName
42,OK Bar,518 S. Alamo,San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000051,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,Historic-House,False,True,False,False,,True,True,San Antonio,False,OK Bar
43,Longini-Herrmann House (formerly Acosta House),622 E. Nueva St.,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,210/207-0166,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000052,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio, Texas",1890,Hemisfair Plaza,01/01/1983 00:00:00,"Historic Structure, House",False,True,False,False,,True,True,San Antonio,False,Longini-Herrmann House (formerly Acosta House)
44,Beethoven Hall,420 South Alamo,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000053,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,"Historic Structure, Theater",False,True,False,False,,True,True,San Antonio,False,Beethoven Hall
45,Coyone-Tynan Dugosh House,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,unavailable?,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000054,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair, San Antonio",1857,Hemisfair Plaza,01/01/1983 00:00:00,"Historic Structure, House",False,True,False,False,,True,True,San Antonio,False,Coyone-Tynan Dugosh House
46,Dugosh House,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000055,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair, San Antonio",1857,Hemisfair Plaza,01/01/1983 00:00:00,Historic Structure-House,False,True,False,False,,True,True,San Antonio,False,Dugosh House
47,Eager Dependency,Hemisfair Park,San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000056,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",1866,Hemisfair Plaza,01/01/1983 00:00:00,Historic Outbuilding,False,True,False,False,,True,True,San Antonio,False,Eager Dependency
48,Eagar House,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,unavailable?,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000057,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",1866,Hemisfair Plaza,01/01/1983 00:00:00,Historic Outbuilding,False,True,False,False,,True,True,San Antonio,False,Eagar House
49,Espinoza House,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,210/207-0166,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000058,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",1890,Hemisfair Plaza,01/01/1983 00:00:00,Historic Outbuilding,False,True,False,False,,True,True,San Antonio,False,Espinoza House
50,Halff (Solomon) or Kampman House,600 Hemisfair Way,San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,210/207-0166,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000059,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",1875,Hemisfair Plaza,01/01/1983 00:00:00,Historic House,False,True,False,False,,True,True,San Antonio,False,Halff (Solomon) or Kampman House
51,Hermann Carriage House,HemisFair park Plaza,San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000060,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",1917,Hemisfair Plaza,01/01/1983 00:00:00,Historic Outbuilding,False,True,False,False,,True,True,San Antonio,False,Hermann Carriage House
53,Koehler House,"600 Hemisfair Plaza Way, Building 247",San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,unavailable?,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000062,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",1856,Hemisfair Plaza,01/01/1983 00:00:00,Historic-House,False,True,False,False,,True,True,San Antonio,False,Koehler House
54,Kusch House,600 Hemisfair Plaza Way,San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000063,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",1885,Hemisfair Plaza,01/01/1983 00:00:00,Historic-House,False,True,False,False,,True,True,San Antonio,False,Kusch House
55,Meyer Halff House,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,210/207-0166,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000064,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",1893,Hemisfair Plaza,01/01/1983 00:00:00,Historic-House,False,True,False,False,,True,True,San Antonio,False,Meyer Halff House
56,Pereida House,"600 Hemisfair Plaza Way, Building 204",San Antonio,78206,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000065,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,unavailable?,False,True,False,False,,True,True,San Antonio,False,Pereida House
57,Richter House,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000066,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,unavailable?,False,True,False,False,,True,True,San Antonio,False,Richter House
58,Schultze's Store,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000067,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,unavailable?,False,True,False,False,,True,True,San Antonio,False,Schultze's Store
59,Schultze (Herman) House,3853 N. St. Mary's Street,San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000068,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,unavailable?,False,True,False,False,,True,True,San Antonio,False,Schultze (Herman) House
60,Schroeder-Yturri House,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/25/2004 00:00:00,False,False,False,False,False,False,False,False,8200000069,False,False,Public,2,San Antonio East,2998-133,,,,"Located on part of lot 11, Block E",,,01/01/1981 00:00:00,Historic Structure,False,True,False,False,,True,True,San Antonio,True,Schroeder-Yturri House
61,Schultze (Maximillion) House,600 Hemisfair Plaza Way,San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000070,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,unavailable?,False,True,False,False,,True,True,San Antonio,False,Schultze (Maximillion) House
62,Smith House,639 Hemisfair Blvd.,San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000071,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,unavailable?,False,True,False,False,,True,True,San Antonio,False,Smith House
63,Solis House -- Removed 04/29/2014,,San Antonio,,Bexar,15,City of San Antonio,P.O. Box 9066,San Antonio,TX,78285,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000072,False,False,,0,San Antonio east,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,02/22/1983 00:00:00,unavailable?,False,True,False,False,"  ",False,True,San Antonio,False,Solis House
64,Sweeney (James) House,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000073,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,unavailable?,False,True,False,False,,True,True,San Antonio,False,Sweeney (James) House
65,Tynan Dependency,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000074,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,unavailable?,False,True,False,False,,True,True,San Antonio,False,Tynan Dependency
66,Yturri House,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,10/12/2004 00:00:00,False,False,False,False,False,False,False,False,8200000075,False,False,Public,2,San Antonio East,2998-133,,,,"Hemisfair Plaza, San Antonio",unavailable?,Hemisfair Plaza,01/01/1983 00:00:00,unavailable?,False,True,False,False,,True,True,San Antonio,False,Yturri House
67,Jose Antonio Navarro Elementary School #8,623 S. Pecos,San Antonio,,Bexar,15,San Antonio Indep. School District,141 Lavaca,San Antonio,TX,78210,,,10/13/2004 00:00:00,False,False,False,False,False,False,False,False,8200000076,False,False,Public,2,San Antonio West,2998-244,,,,"623 S. Pecos St., San Antonio","19th C. American 1885, 1902, 1923",,01/01/1983 00:00:00,Historic Structure: Educational,False,True,False,False,,True,True,San Antonio,True,Jose Antonio Navarro Elementary School #8
69,Jose Antonio Navarro House,228 South Laredo Street,San Antonio,,Bexar,15,Texas Historical Commission,P.O. Box 12776,Austin,TX,78711,512/463-6100,41BX302,11/09/2010 00:00:00,False,False,False,False,False,False,False,False,8200000078,False,False,Public,2,San Antonio East,2998-133,,,,"228 South Laredo Street, San Antonio, TX 78207",Mexican Texas & Revolution c.1850,(Casa Navarro SHS),01/01/1983 00:00:00,Historic structure: house and grounds,False,True,False,False,,True,True,San Antonio,True,Jose Antonio Navarro House (41BX302)
72,Mission San Jose Mission y San Miguel de Aguayo,San Jose Drive,San Antonio,78214,Bexar,15,Archdiocese of San Antonio,P.O. Box 7804,San Antonio,TX,78207,,41BX3,08/22/2008 00:00:00,False,False,False,False,False,False,False,False,8200000084,False,False,Private,1,Southton,2998-132,,,,"San Antonio, Texas",Spanish Colonial,,02/22/1983 00:00:00,Historic Mission,True,True,True,False,"Another File Name: Mission San Jose y San Miguel de Aguayo, 41BX3",True,True,San Antonio,True,Mission San Jose Mission y San Miguel de Aguayo (41BX3)
73,Spanish Governor's Palace,105 Military Plaza,San Antonio,78205,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,,06/16/2005 00:00:00,False,False,False,False,False,False,False,False,8200000086,False,False,Public,2,San Antonio,2998-133,,,,"105 Plaza de Armas, San Antonio",,,01/01/1981 00:00:00,Structure,False,True,False,False,,True,True,San Antonio,True,Spanish Governor's Palace
74,Mission San Juan Capistrano,9101 Graf Road,San Antonio,78214,Bexar,15,Archdiocese of San Antonio,P.O. Box 7804,San Antonio,TX,78207,,41BX5,08/22/2008 00:00:00,False,False,False,False,False,False,False,False,8200000087,False,False,Private,1,Southton,2998-132,,,,"San Antonio, TX",Spanish Colonial,,04/24/1973 00:00:00,Historic Mission,True,True,True,False,,True,True,San Antonio,True,Mission San Juan Capistrano (41BX5)
75,San Juan Dam Site (Old),,San Antonio,,Bexar,15,San Antonio River Authority,100 East Guether Street,San Antonio,TX,78204,512-227-1373,41BX266,10/25/2004 00:00:00,False,False,False,False,False,False,False,False,8200000088,False,False,Public,2,Southton,2998-132,,14,,Within Mission Parkway on the San Antonio River south of Pyron road,Spanish Colonial through modern historic important dates 1730's-1977,,01/01/1989 00:00:00,Engineering feature-Diversion Device,False,True,False,False,,True,True,San Antonio,True,San Juan Dam Site (Old) (41BX266)
76,Mission San Francisco de la Espada,1004 Espada Road,San Antonio,78214,Bexar,15,Archdiocese of San Antonio,P.O. Box 7804,San Antonio,TX,78207,,41BX4,08/22/2008 00:00:00,False,False,False,False,False,False,False,False,8200000089,False,False,Private,1,Southton,2998-132,,,,"San Antonio, Texas",Spanish Colonial,,04/24/1973 00:00:00,Historic Mission,True,True,True,False,Another Name: Mission Espada,True,True,San Antonio,True,Mission San Francisco de la Espada (41BX4)
77,Pioneer Hall,3508 Broadway,San Antonio,78209,Bexar,15,Witte Museum,3801 Broadway,San Antonio,TX,78209,,,12/17/2009 00:00:00,False,False,False,False,False,False,False,False,8200000092,False,False,Public,2,San Antonio East,2998-133,,,,"Witte Museum, 3801 Broadway, San Antonio",Texas Centennial,,09/12/1983 00:00:00,Museum,False,True,False,False,,True,True,San Antonio,False,Pioneer Hall
78,San Pedro Springs Park,,San Antonio,,Bexar,15,City of San Antonio,1901 S. Alamo,San Antonio,TX,78204,,41BX19,10/25/2004 00:00:00,False,False,False,False,False,False,False,False,8200000094,False,False,Public,2,San Antonio East,2998-133,,14,,"800 W Ashby Pl, San Pedro Park, San Antonio; bounded on the east by San Pedro Avenue, on the north by West Ashby Place",,,01/01/1981 00:00:00,Park,False,True,False,False,San Pedro Park and Playhouse,True,True,San Antonio,True,San Pedro Springs Park (41BX19)
80,Southern Pacific Depot,1174 East Commerce,San Antonio,,Bexar,15,VIA Metropolitan Transit,123 N. Medina St.,San Antonio,TX,78207,,,10/25/2004 00:00:00,False,False,False,False,False,False,False,False,8200000097,False,False,Public,2,,,,14,,1174 E. Commerce,Mission Style 1902,,01/01/1991 00:00:00,,False,True,False,False,,False,True,San Antonio,True,Southern Pacific Depot
86,First National Bank Building,,Meridian,,Bosque,18,Bosque County,PO Box 647,Meridian,TX,76665,254/435-2382,,10/26/2004 00:00:00,False,False,False,False,False,False,False,False,8200000104,False,False,Public,2,Meridian,3197-343,,14,,102 West Morgan Street (Northwest corner of Main and Morgan Streets),,,01/01/1981 00:00:00,Historic Structure,False,True,False,False,,False,True,Meridian,True,First National Bank Building
89,Bosque County Courthouse,110 S. Main Street,Meridian,76665,Bosque,18,County of Bosque,PO Box 647,Meridian,TX,76665,254/435-2382,,10/21/2005 00:00:00,False,False,False,False,False,False,False,False,8200000108,False,False,Public,2,Meridian,3197-343,,,,"Public Square, 110 South Main Street",,,01/01/1981 00:00:00,Historic Structure,False,True,False,False,active courthouse,False,True,Meridian,True,Bosque County Courthouse
90,Bowie County Courthouse Square and Jail (Bowie County Courthouse and Jail),,Boston,75570,Bowie,19,County of Bowie,710 James Bowie Drive,New Boston,TX,75570,,,10/26/2004 00:00:00,False,False,False,False,False,False,False,False,8200000109,False,False,Public,2,New Boston,3394-133,,15,,public Square,,,05/28/1981 00:00:00,Courthouse square,False,True,False,False,Burned in 1987 and demolished under Antiquities Permit; square and jail remain within SAL designation; delisted from the National Register,False,True,Boston,False,Bowie County Courthouse Square and Jail (Bowie County Courthouse and Jail)
91,Saenger Theater,,Texarkana,,Bowie,19,City of Texarkana,PO Box 1967,Texarkana,TX,75501,903/798-3930,,10/26/2004 00:00:00,False,False,False,False,False,False,False,False,8200000111,False,False,Public,2,Texarkana,3394-144,,15,,219 Main Street,,,01/01/1981 00:00:00,Historic Structure,False,True,False,False,,True,True,Texarkana,True,Saenger Theater
92,Brazoria County Courthouse (Old),501 E 4th,Lampasas,76550,Lampasas,20,County of Brazoria,"111 Locust Street, Room 102A",Angleton,TX,77515,,,10/26/2004 00:00:00,False,False,False,False,False,False,False,False,8200000114,False,False,Public,2,Angleton,2995-123,,15,,"Public Square, 100 E. Cedar St.",,,01/01/1981 00:00:00,Historic Bldg.,False,True,False,False,museum and library,True,True,Angleton,True,Brazoria County Courthouse (Old)
96,Varner-Hogg State Historic Park,1702 N. 13th St. West,West Columbia,,Brazoria,20,Texas Historical Commission,P.O. Box 12276,Austin,TX,78711,512/463-6100,41BO133,11/09/2010 00:00:00,False,False,False,False,False,False,False,False,8200000121,False,False,Public,2,West Columbia,2995-213,,,,"1702 North 13th Street, West Columbia, TX 77486",1820's - 1958,,01/01/1983 00:00:00,farmstead/Plantation,False,True,False,False,,True,True,West Columbia,False,Varner-Hogg State Historic Park (41BO133)
100,Brewster County Courthouse & Jail,Courthouse Square,Alpine,79830,Brewster,22,County of Brewster,PO Box 1630,Alpine,TX,79831,,,10/26/2004 00:00:00,False,False,False,False,False,False,False,False,8200000126,False,False,Public,2,Alpine South,3003-242,,,,"Courthouse Square: Between Avenue D and E, 6th and 7th Streets",,,01/01/1981 00:00:00,Historic Courthouse,False,True,False,False,,False,True,Alpine,True,Brewster County Courthouse & Jail
107,Brown County Jail,,Brownwood,,Brown,25,Brown County Jail,"200 South Broadway Street, Room 109",Brownwood,TX,76801,325/643-2828,,11/03/2004 00:00:00,False,False,False,False,False,False,False,False,8200000142,False,False,Public,2,Brownwood,3198-323,,,,"212 North Broadway, Brownwood",,,01/01/1983 00:00:00,Historic,False,True,False,False,,False,True,Brownwood,True,Brown County Jail
112,Caldwell County Courthouse,110 South Main St.,Lockhart,78644,Caldwell,28,County of Caldwell,"110 S. Main Street, Room 201",Lockhart,TX,78644,,,11/02/2004 00:00:00,False,False,False,False,False,False,False,False,8200000149,False,False,Public,2,Lockhart East,2997-343,,14,,Courthouse Square,1970,,01/01/1981 00:00:00,Historic Site,False,True,False,False,,False,True,Lockhart,True,Caldwell County Courthouse
114,Calhoun County Jail Museum -- Removed 01/29/2016,,Port Lavaca,,Calhoun,29,Calhoun County,211 S. Ann St.,Port Lavaca,TX,77979,,,08/30/2006 00:00:00,False,False,False,False,False,False,False,False,8200000151,False,False,Public,2,Port Lavaca,2896-312,,,,301 S. Ann St.,,,02/22/1983 00:00:00,,False,True,False,False,Demolished after 2001; RTHL designation removed,False,True,Port Lavaca,False,Calhoun County Jail Museum
117,Cameron County Courthouse,1100 E. Monroe,Brownsville,78520,Cameron,31,County of Cameron,1110 E. Monroe Street,Brownsville,TX,78520,,,11/02/2004 00:00:00,False,False,False,False,False,False,False,False,8200000155,False,False,Public,2,,,,14,,1100 East Monroe,,,01/01/1992 00:00:00,Historic Structure,False,True,False,False,active courthouse,False,True,Brownsville,True,Cameron County Courthouse
118,Port Isabel Lighthouse State Historic Structure,421 East Queen Isabella Blvd.,Port Isabel,78578,Cameron,31,Texas Parks and Wildlife Department,4200 Smith School Rd.,Austin,TX,78744,512/389-4736,41CF10,11/02/2004 00:00:00,False,False,False,False,False,False,False,False,8200000158,False,False,Public,2,Port Isabel,2697-112,,,,One acre in the town of Port Isabel,,,01/01/1983 00:00:00,Historic brick structure,False,True,False,False,,True,True,Port Isabel,True,Port Isabel Lighthouse State Historic Structure (41CF10)
120,Cass County Courthouse,County Square,Linden,75563,Cass,34,County of Cass,PO Box 825,Linden,TX,75563,,,11/02/2004 00:00:00,False,False,False,False,False,False,False,False,8200000162,False,False,Public,2,Linden,3394-121,,,,"Linden, TX",,,01/01/1983 00:00:00,Historic Courthouse,False,True,False,False,,False,True,Linden,True,Cass County Courthouse
122,Fort Anahuac,"Fort Anahuac County Park, one mile south of center of town on State Highway 564",Anahuac,,Chambers,36,Chambers County,P.O. Box 430,Anahuac,TX,77514,409-267-2409,41CH226,11/03/2004 00:00:00,False,False,False,False,False,False,False,False,8200000165,False,False,Public,2,Anahuac,2994-342,,14,,"Fort Anahuac County Park, one mile south of center of town on State Highway 564",Historic 1830's,,01/01/1988 00:00:00,Mexican Republic,False,True,False,False,,True,True,Anahuac,True,Fort Anahuac (41CH226)
124,Thomas Jefferson Chambers Home,208 Cummings Street,Anahuac,77514,Chambers,36,Chambers County,P.O. Box 520,Anahuac,TX,77514,,,11/03/2004 00:00:00,False,False,False,False,False,False,False,False,8200000168,False,False,Public,2,Anahuac,2994-342,,,,Anahuac,Texas Republic,,01/01/1983 00:00:00,Residential,False,True,False,False,NR listed as Chambersea,True,True,,True,Thomas Jefferson Chambers Home
125,Clay County Courthouse & Jail,100 North Bridge St.,Henrietta,76365,Clay,39,County of Clay,"214 Main Street, 3rd Floor",Henrietta,TX,76365,,,10/21/2005 00:00:00,False,False,False,False,False,False,False,False,8200000170,False,False,Public,2,,,,14,,"On Ikard Street, one block west of courthouse; Courthouse: public square 100 North Bridge St.",,,01/01/1981 00:00:00,Historic Structures,False,True,False,False,,False,True,Henrietta,True,Clay County Courthouse & Jail
126,Colorado County Courthouse,400 Spring St.,Columbus,78934,Colorado,45,County of Colorado,PO Box 236,Columbus,TX,78934,,,11/09/2004 00:00:00,False,False,False,False,False,False,False,False,8200000174,False,False,Public,2,Columbus,2996-314,,14,,"Bounded by Milam, Spring, Travis & Walnut",,,01/01/1981 00:00:00,Historic Structure,False,True,False,False,active courthouse,False,True,Columbus,True,Colorado County Courthouse
127,Comal County Courthouse,100 Main St,New Braunfels,78640,Comal,46,County of Comal,"150 N. Seguin Avenue, Ste. 201",New Braunfels,TX,78130,,,11/10/2004 00:00:00,False,False,False,False,False,False,False,False,8200000175,False,False,Public,2,New Braunfels East,2998-414,,14,,"North Seguin Ave, near East San Antonio Street",1875-1899,,01/01/1981 00:00:00,Historic Structure,False,True,False,False,active courthouse,True,True,New Braunfels,True,Comal County Courthouse
